modelo,config,bloque_mes,H,n_ventanas,MAE,RMSE,R2
c2,c2_zs_F_C256,2024-11,6,5,3.0472030868530267,3.8977028035387966,-1.4239814741216863
c2,c2_zs_F_C256,2024-11,12,5,3.5363617070515945,4.43001951576877,-0.16855079284876973
c2,c2_zs_F_C256,2024-11,24,5,3.8244882294336957,4.78763622059977,0.17485786224627142
c2,c2_zs_F_C256,2024-11,48,5,4.079203351974487,4.964248428559955,-0.07442283071573863
ttm,ttm_zs_U,2024-11,6,5,3.8204988759358725,4.428458765334977,-2.1290828605394965
ttm,ttm_zs_U,2024-11,12,5,4.202125628153483,4.821931036320319,-0.3844532816181856
ttm,ttm_zs_U,2024-11,24,5,4.213668690363566,4.992743852703356,0.10264342503261292
ttm,ttm_zs_U,2024-11,48,5,4.329112592697144,5.057432437369462,-0.11513743077027105
ttm,ttm_ft5_F,2024-11,6,5,4.919850508371989,5.7635198636209415,-4.300141226855128
ttm,ttm_ft5_F,2024-11,12,5,5.029988178888956,5.810801857718527,-1.0105202372448225
ttm,ttm_ft5_F,2024-11,24,5,5.033810048739116,5.9543072460182325,-0.2762888041219529
ttm,ttm_ft5_F,2024-11,48,5,5.147502632776896,6.047439811315336,-0.5944515368580845
xgb,xgb_E1,2024-12,6,14,3.0115587348029726,3.8236328658536887,0.005534540006096544
xgb,xgb_E1,2024-12,12,14,3.4468315722828824,4.394405171847417,-0.22543839012177513
xgb,xgb_E1,2024-12,24,14,3.5723004790147144,4.496794436284718,-0.3193059875475208
xgb,xgb_E1,2024-12,48,14,3.9974019900673916,4.9351510755091805,-0.5875400159268958
xgb,xgb_E3,2024-12,6,14,3.0884499104817706,3.822740961821999,0.005998425706848942
xgb,xgb_E3,2024-12,12,14,3.450406248910087,4.349883969751022,-0.20073351408360818
xgb,xgb_E3,2024-12,24,14,3.7090124689397355,4.5430555292020625,-0.3465905236897713
xgb,xgb_E3,2024-12,48,14,4.033990287383397,4.817573501972758,-0.5127963783030998
c2,c2_zs_U_C512,2024-12,6,14,3.1237825616200765,3.881447990447203,-0.024766392797121117
c2,c2_zs_U_C512,2024-12,12,14,3.4064324715023946,4.171546189545394,-0.10429574995153312
c2,c2_zs_U_C512,2024-12,24,14,3.1047345357849485,3.8920274826172063,0.011694391130607773
c2,c2_zs_U_C512,2024-12,48,14,3.1943625562531612,3.998257037285356,-0.04199395120650373
c2,c2_zs_F_C256,2024-12,6,14,3.024401294617426,3.78838123843246,0.02378677651207861
c2,c2_zs_F_C256,2024-12,12,14,3.341671272005354,4.0957256179209525,-0.06451796843056767
c2,c2_zs_F_C256,2024-12,24,14,3.122184313933054,3.899253230018827,0.00802130518172739
c2,c2_zs_F_C256,2024-12,48,14,3.1614769713651563,3.9034509688133974,0.006835392978615573
ttm,ttm_zs_U,2024-12,6,14,3.120149163745699,3.7702136521798773,0.03312739496256323
ttm,ttm_zs_U,2024-12,12,14,3.338225004559471,3.9932495805645725,-0.01191538007323234
ttm,ttm_zs_U,2024-12,24,14,3.1458893011865166,3.8256815934238384,0.045101730287893105
ttm,ttm_zs_U,2024-12,48,14,3.223915439900898,3.9104443985991213,0.003273494084901518
ttm,ttm_ft5_F,2024-12,6,14,3.8968563815525603,4.8427570597152565,-0.5952277567651421
ttm,ttm_ft5_F,2024-12,12,14,4.045345411073593,5.068813582240059,-0.630436638097772
ttm,ttm_ft5_F,2024-12,24,14,3.4231640771457124,4.394710857571436,-0.26008568231153206
ttm,ttm_ft5_F,2024-12,48,14,3.2645192478951954,4.165585650682874,-0.1310346617499505
xgb,xgb_E1,2025-03,6,6,4.301420359081693,5.782498811163486,0.04996278408221366
xgb,xgb_E1,2025-03,12,6,4.019544901847839,5.371473971810431,0.030043893129280907
xgb,xgb_E1,2025-03,24,6,3.559966758886974,4.723574727349381,-0.0383958542248215
xgb,xgb_E1,2025-03,48,6,3.7536797914240103,4.9185411569106465,-0.13869787530788513
xgb,xgb_E3,2025-03,6,6,4.035308877097236,5.288761177794238,0.20527399096923948
xgb,xgb_E3,2025-03,12,6,3.846932840877109,4.993947712635451,0.16159644284355112
